dataset,designation,prob,label,Depth_ppm,P_days,Teff_K,Rp_Re,Dur_hr,Rstar_Rsun
KOI,K05826.01,0.9514563106796117,1.0,585.7,30.561533,4294.0,1.53,2.227,0.664
KOI,K01843.02,0.9514563106796117,1.0,176.6,6.35585682,3706.0,0.86,1.55,0.522
KOI,K00961.03,0.9514563106796117,1.0,1124.8,1.865114193,3292.0,0.66,0.4279,0.148
KOI,K03102.01,0.9514563106796117,1.0,294.2,9.3210841,3773.0,0.61,1.81,0.35
KOI,K00898.01,0.9514563106796117,1.0,1897.8,9.7704486,3906.0,2.23,2.4517,0.509
KOI,K01422.04,0.9514563106796117,1.0,983.0,63.3354719,3526.0,1.18,3.651,0.383
KOI,K07706.01,0.9514563106796117,1.0,607.9,42.049523793,4281.0,1.19,2.1372,0.48
KOI,K00605.01,0.9514563106796117,1.0,936.8,2.628117322,3939.0,1.77,1.8289,0.557
KOI,K01430.02,0.9514563106796117,1.0,908.9,22.92886314,4463.0,2.08,2.0831,0.611
KOI,K00250.04,0.9514563106796117,1.0,1537.7,46.82767725,3879.0,2.13,1.9033,0.537
KOI,K00248.01,0.9514563106796117,1.0,1765.9,7.203855862,3834.0,2.25,2.5418,0.539
KOI,K00947.01,0.9514563106796117,1.0,1585.1,28.59914031,3755.0,1.83,3.6567,0.461
KOI,K02031.01,0.9514563106796117,1.0,637.3,9.30413878,4458.0,1.67,1.9254,0.658
KOI,K00156.03,0.9514563106796117,1.0,1430.8,11.776132317,3980.0,2.08,2.8971,0.54
KOI,K02256.01,0.9514563106796117,1.0,1198.6,10.71253475,4175.0,2.02,2.7186,0.544
KOI,K00156.02,0.9514563106796117,1.0,358.7,5.188563677,3980.0,1.0,2.3683,0.54
KOI,K01833.03,0.9514563106796117,1.0,586.7,5.70940795,4402.0,1.51,1.622,0.572
KOI,K02179.02,0.9514563106796117,1.0,613.1,2.732767897,3825.0,1.42,1.1102,0.524
KOI,K00719.01,0.9514563106796117,1.0,577.6,9.034190783,4499.0,1.8,1.5501,0.639
KOI,K01058.01,0.9514563106796117,0.0,536.7,5.670155713,3337.0,5.85,0.9361,0.183
KOI,K00870.01,0.9514563106796117,1.0,961.4,5.912273234,4072.0,1.73,2.3254,0.57
KOI,K00877.03,0.9514563106796117,1.0,439.0,20.83762895,4261.0,1.42,2.3734,0.633
KOI,K00610.01,0.9514563106796117,1.0,983.2,14.28228147,4102.0,1.82,2.6588,0.595
KOI,K00870.02,0.9514563106796117,1.0,881.3,8.98581901,4072.0,1.65,2.8606,0.57
KOI,K02626.01,0.9514563106796117,1.0,913.3,38.0970717,3554.0,1.58,4.307,0.398
KOI,K00248.03,0.9514563106796117,1.0,852.8,2.576571021,3834.0,1.57,1.5997,0.539
KOI,K04987.01,0.9514563106796117,0.0,731.0,12.5748872,3552.0,1.03,3.549,0.387
KOI,K01900.01,0.9514563106796117,1.0,430.1,5.18498961,4325.0,1.15,2.1397,0.56
KOI,K00448.01,0.9514563106796117,1.0,1155.9,10.13958818,3893.0,1.68,2.6446,0.5
KOI,K00952.04,0.9514563106796117,1.0,614.1,2.896005211,3731.0,1.23,1.6776,0.498
KOI,K01024.01,0.9514563106796117,1.0,820.1,5.747711909,4252.0,1.86,1.8923,0.632
KOI,K00952.03,0.9514563106796117,1.0,1925.1,22.78078241,3731.0,2.17,3.3002,0.498
KOI,K01427.01,0.9514563106796117,1.0,599.7,2.613020421,3883.0,1.5,1.9588,0.517
KOI,K02130.01,0.9514563106796117,1.0,871.5,16.85592593,3967.0,1.7,2.309,0.587
KOI,K00250.03,0.9514563106796117,1.0,507.0,3.543919702,3879.0,1.21,1.8717,0.537
KOI,K02650.02,0.9514563106796117,1.0,359.3,7.05429483,3765.0,1.0,1.716,0.521
KOI,K01833.02,0.9514563106796117,1.0,1175.0,7.68433346,4402.0,2.58,1.4346,0.572
KOI,K01408.01,0.9514563106796117,1.0,510.6,14.53410833,3957.0,1.36,3.3094,0.553
KOI,K02057.01,0.9514563106796117,1.0,401.2,5.94565516,3974.0,1.12,2.1604,0.564
KOI,K07622.01,0.9514563106796117,0.0,627.1,36.2671673,4264.0,1.5,2.065,0.62
KOI,K00663.01,0.9514563106796117,1.0,536.7,2.755637216,4121.0,1.37,1.8559,0.553
KOI,K06925.01,0.9514563106796117,1.0,331.0,12.9489256,3867.0,0.94,2.162,0.525
KOI,K01266.01,0.9514563106796117,1.0,915.6,11.41926141,3823.0,1.48,3.9908,0.492
KOI,K01427.02,0.9514563106796117,1.0,221.0,4.88446644,3883.0,0.84,2.057,0.517
KOI,K00314.03,0.9514563106796117,1.0,137.6,10.31282204,3846.0,0.59,2.0138,0.503
KOI,K01874.02,0.9514563106796117,1.0,505.5,7.41634701,4156.0,1.24,2.1362,0.545
KOI,K01940.01,0.9514563106796117,1.0,884.7,10.99470891,4302.0,1.71,1.5929,0.586
KOI,K06276.01,0.9514563106796117,1.0,248.0,3.09872834,3628.0,0.64,1.89,0.41
KOI,K01404.01,0.9514563106796117,1.0,781.3,13.32389352,3751.0,1.26,3.2208,0.45
KOI,K01403.01,0.9514563106796117,1.0,995.3,18.75470238,3976.0,1.67,3.0331,0.54
KOI,K01879.01,0.9514563106796117,1.0,3157.4,22.08551599,3828.0,3.34,2.1727,0.565
KOI,K00251.02,0.9514563106796117,1.0,245.3,5.77440326,3808.0,0.8,1.768,0.508
KOI,K03444.01,0.9514563106796117,1.0,215.8,12.67143692,3705.0,0.76,2.498,0.529
KOI,K01298.01,0.9514563106796117,1.0,1462.5,11.00817635,4141.0,2.15,2.013,0.582
KOI,K00663.02,0.9514563106796117,1.0,715.4,20.30652862,4121.0,1.58,2.8014,0.553
KOI,K08037.01,0.9514563106796117,1.0,253.2,3.65034525,3704.0,0.72,1.527,0.45
KOI,K02715.03,0.9514563106796117,1.0,1316.0,5.72084599,3640.0,1.78,2.744,0.503
KOI,K07617.01,0.9514563106796117,1.0,297.9,12.9284553,3578.0,0.64,2.49,0.375
KOI,K02006.01,0.9514563106796117,1.0,262.5,3.27344784,3758.0,0.81,1.7292,0.496
KOI,K01867.01,0.9514563106796117,1.0,495.1,2.549562652,3716.0,1.11,1.6999,0.506
KOI,K00250.02,0.9514563106796117,1.0,2054.8,17.25121397,3879.0,2.64,2.0371,0.537
KOI,K01085.01,0.9514563106796117,1.0,306.8,7.71790675,3975.0,0.9,1.84,0.509
KOI,K00781.01,0.9514563106796117,1.0,2804.5,11.59822233,3688.0,2.65,2.5237,0.473
KOI,K05831.01,0.9514563106796117,1.0,954.0,10.552241908,4031.0,1.75,2.7355,0.585
