dataset,designation,prob,label,Depth_ppm,Dur_hr,Rstar_Rsun,P_days,Rp_Re,Teff_K
KOI,K00222.01,0.9514563106796117,1.0,1286.0,2.7455,0.571,6.312508525,2.0,4090.0
KOI,K00676.01,0.9514563106796117,1.0,3139.0,2.9754,0.533,7.972510087,3.22,3912.0
KOI,K03090.01,0.9514563106796117,1.0,362.7,1.924,0.514,3.82223397,1.05,3729.0
KOI,K00812.01,0.9514563106796117,1.0,1632.6,1.9104,0.493,3.340218842,2.03,3950.0
KOI,K00886.02,0.9514563106796117,1.0,759.2,4.3224,0.47,12.07134205,1.29,3713.0
KOI,K00500.02,0.9514563106796117,1.0,1491.3,2.3569,0.567,9.521644639,2.16,4041.0
KOI,K00500.01,0.9514563106796117,1.0,1480.1,2.3982,0.567,7.053527145,2.16,4041.0
KOI,K06471.01,0.9514563106796117,0.0,206.8,1.273,0.55,8.65311903,0.85,3929.0
KOI,K00817.01,0.9514563106796117,1.0,1182.3,3.827,0.524,23.96793669,1.8,3747.0
KOI,K05826.01,0.9514563106796117,1.0,585.7,2.227,0.664,30.561533,1.53,4294.0
KOI,K01843.02,0.9514563106796117,1.0,176.6,1.55,0.522,6.35585682,0.86,3706.0
KOI,K00961.03,0.9514563106796117,1.0,1124.8,0.4279,0.148,1.865114193,0.66,3292.0
KOI,K03102.01,0.9514563106796117,1.0,294.2,1.81,0.35,9.3210841,0.61,3773.0
KOI,K00898.01,0.9514563106796117,1.0,1897.8,2.4517,0.509,9.7704486,2.23,3906.0
KOI,K01422.04,0.9514563106796117,1.0,983.0,3.651,0.383,63.3354719,1.18,3526.0
KOI,K07706.01,0.9514563106796117,1.0,607.9,2.1372,0.48,42.049523793,1.19,4281.0
KOI,K00605.01,0.9514563106796117,1.0,936.8,1.8289,0.557,2.628117322,1.77,3939.0
KOI,K01430.02,0.9514563106796117,1.0,908.9,2.0831,0.611,22.92886314,2.08,4463.0
KOI,K00250.04,0.9514563106796117,1.0,1537.7,1.9033,0.537,46.82767725,2.13,3879.0
KOI,K00248.01,0.9514563106796117,1.0,1765.9,2.5418,0.539,7.203855862,2.25,3834.0
KOI,K00947.01,0.9514563106796117,1.0,1585.1,3.6567,0.461,28.59914031,1.83,3755.0
KOI,K02031.01,0.9514563106796117,1.0,637.3,1.9254,0.658,9.30413878,1.67,4458.0
KOI,K00156.03,0.9514563106796117,1.0,1430.8,2.8971,0.54,11.776132317,2.08,3980.0
KOI,K02256.01,0.9514563106796117,1.0,1198.6,2.7186,0.544,10.71253475,2.02,4175.0
KOI,K00156.02,0.9514563106796117,1.0,358.7,2.3683,0.54,5.188563677,1.0,3980.0
KOI,K01833.03,0.9514563106796117,1.0,586.7,1.622,0.572,5.70940795,1.51,4402.0
KOI,K02179.02,0.9514563106796117,1.0,613.1,1.1102,0.524,2.732767897,1.42,3825.0
KOI,K00719.01,0.9514563106796117,1.0,577.6,1.5501,0.639,9.034190783,1.8,4499.0
KOI,K01058.01,0.9514563106796117,0.0,536.7,0.9361,0.183,5.670155713,5.85,3337.0
KOI,K00870.01,0.9514563106796117,1.0,961.4,2.3254,0.57,5.912273234,1.73,4072.0
KOI,K00877.03,0.9514563106796117,1.0,439.0,2.3734,0.633,20.83762895,1.42,4261.0
KOI,K00610.01,0.9514563106796117,1.0,983.2,2.6588,0.595,14.28228147,1.82,4102.0
KOI,K00870.02,0.9514563106796117,1.0,881.3,2.8606,0.57,8.98581901,1.65,4072.0
