dataset,designation,prob,label,Rp_Re,Depth_ppm,P_days,Dur_hr,Rstar_Rsun,Teff_K
KOI,K00222.01,0.9514563106796117,1.0,2.0,1286.0,6.312508525,2.7455,0.571,4090.0
KOI,K00676.01,0.9514563106796117,1.0,3.22,3139.0,7.972510087,2.9754,0.533,3912.0
KOI,K03090.01,0.9514563106796117,1.0,1.05,362.7,3.82223397,1.924,0.514,3729.0
KOI,K00812.01,0.9514563106796117,1.0,2.03,1632.6,3.340218842,1.9104,0.493,3950.0
KOI,K00886.02,0.9514563106796117,1.0,1.29,759.2,12.07134205,4.3224,0.47,3713.0
KOI,K00500.02,0.9514563106796117,1.0,2.16,1491.3,9.521644639,2.3569,0.567,4041.0
KOI,K00500.01,0.9514563106796117,1.0,2.16,1480.1,7.053527145,2.3982,0.567,4041.0
KOI,K06471.01,0.9514563106796117,0.0,0.85,206.8,8.65311903,1.273,0.55,3929.0
KOI,K00817.01,0.9514563106796117,1.0,1.8,1182.3,23.96793669,3.827,0.524,3747.0
KOI,K05826.01,0.9514563106796117,1.0,1.53,585.7,30.561533,2.227,0.664,4294.0
KOI,K01843.02,0.9514563106796117,1.0,0.86,176.6,6.35585682,1.55,0.522,3706.0
KOI,K00961.03,0.9514563106796117,1.0,0.66,1124.8,1.865114193,0.4279,0.148,3292.0
KOI,K03102.01,0.9514563106796117,1.0,0.61,294.2,9.3210841,1.81,0.35,3773.0
KOI,K00898.01,0.9514563106796117,1.0,2.23,1897.8,9.7704486,2.4517,0.509,3906.0
KOI,K01422.04,0.9514563106796117,1.0,1.18,983.0,63.3354719,3.651,0.383,3526.0
KOI,K07706.01,0.9514563106796117,1.0,1.19,607.9,42.049523793,2.1372,0.48,4281.0
KOI,K00605.01,0.9514563106796117,1.0,1.77,936.8,2.628117322,1.8289,0.557,3939.0
KOI,K01430.02,0.9514563106796117,1.0,2.08,908.9,22.92886314,2.0831,0.611,4463.0
KOI,K00250.04,0.9514563106796117,1.0,2.13,1537.7,46.82767725,1.9033,0.537,3879.0
KOI,K00248.01,0.9514563106796117,1.0,2.25,1765.9,7.203855862,2.5418,0.539,3834.0
KOI,K00947.01,0.9514563106796117,1.0,1.83,1585.1,28.59914031,3.6567,0.461,3755.0
KOI,K02031.01,0.9514563106796117,1.0,1.67,637.3,9.30413878,1.9254,0.658,4458.0
KOI,K00156.03,0.9514563106796117,1.0,2.08,1430.8,11.776132317,2.8971,0.54,3980.0
KOI,K02256.01,0.9514563106796117,1.0,2.02,1198.6,10.71253475,2.7186,0.544,4175.0
KOI,K00156.02,0.9514563106796117,1.0,1.0,358.7,5.188563677,2.3683,0.54,3980.0
KOI,K01833.03,0.9514563106796117,1.0,1.51,586.7,5.70940795,1.622,0.572,4402.0
KOI,K02179.02,0.9514563106796117,1.0,1.42,613.1,2.732767897,1.1102,0.524,3825.0
KOI,K00719.01,0.9514563106796117,1.0,1.8,577.6,9.034190783,1.5501,0.639,4499.0
KOI,K01058.01,0.9514563106796117,0.0,5.85,536.7,5.670155713,0.9361,0.183,3337.0
KOI,K00870.01,0.9514563106796117,1.0,1.73,961.4,5.912273234,2.3254,0.57,4072.0
KOI,K00877.03,0.9514563106796117,1.0,1.42,439.0,20.83762895,2.3734,0.633,4261.0
KOI,K00610.01,0.9514563106796117,1.0,1.82,983.2,14.28228147,2.6588,0.595,4102.0
KOI,K00870.02,0.9514563106796117,1.0,1.65,881.3,8.98581901,2.8606,0.57,4072.0
KOI,K02626.01,0.9514563106796117,1.0,1.58,913.3,38.0970717,4.307,0.398,3554.0
KOI,K00248.03,0.9514563106796117,1.0,1.57,852.8,2.576571021,1.5997,0.539,3834.0
KOI,K04987.01,0.9514563106796117,0.0,1.03,731.0,12.5748872,3.549,0.387,3552.0
KOI,K01900.01,0.9514563106796117,1.0,1.15,430.1,5.18498961,2.1397,0.56,4325.0
KOI,K00448.01,0.9514563106796117,1.0,1.68,1155.9,10.13958818,2.6446,0.5,3893.0
KOI,K00952.04,0.9514563106796117,1.0,1.23,614.1,2.896005211,1.6776,0.498,3731.0
KOI,K01024.01,0.9514563106796117,1.0,1.86,820.1,5.747711909,1.8923,0.632,4252.0
KOI,K00952.03,0.9514563106796117,1.0,2.17,1925.1,22.78078241,3.3002,0.498,3731.0
KOI,K01427.01,0.9514563106796117,1.0,1.5,599.7,2.613020421,1.9588,0.517,3883.0
KOI,K02130.01,0.9514563106796117,1.0,1.7,871.5,16.85592593,2.309,0.587,3967.0
KOI,K00250.03,0.9514563106796117,1.0,1.21,507.0,3.543919702,1.8717,0.537,3879.0
KOI,K02650.02,0.9514563106796117,1.0,1.0,359.3,7.05429483,1.716,0.521,3765.0
KOI,K01833.02,0.9514563106796117,1.0,2.58,1175.0,7.68433346,1.4346,0.572,4402.0
KOI,K01408.01,0.9514563106796117,1.0,1.36,510.6,14.53410833,3.3094,0.553,3957.0
KOI,K02057.01,0.9514563106796117,1.0,1.12,401.2,5.94565516,2.1604,0.564,3974.0
KOI,K07622.01,0.9514563106796117,0.0,1.5,627.1,36.2671673,2.065,0.62,4264.0
KOI,K00663.01,0.9514563106796117,1.0,1.37,536.7,2.755637216,1.8559,0.553,4121.0
KOI,K06925.01,0.9514563106796117,1.0,0.94,331.0,12.9489256,2.162,0.525,3867.0
KOI,K01266.01,0.9514563106796117,1.0,1.48,915.6,11.41926141,3.9908,0.492,3823.0
KOI,K01427.02,0.9514563106796117,1.0,0.84,221.0,4.88446644,2.057,0.517,3883.0
KOI,K00314.03,0.9514563106796117,1.0,0.59,137.6,10.31282204,2.0138,0.503,3846.0
KOI,K01874.02,0.9514563106796117,1.0,1.24,505.5,7.41634701,2.1362,0.545,4156.0
KOI,K01940.01,0.9514563106796117,1.0,1.71,884.7,10.99470891,1.5929,0.586,4302.0
KOI,K06276.01,0.9514563106796117,1.0,0.64,248.0,3.09872834,1.89,0.41,3628.0
KOI,K01404.01,0.9514563106796117,1.0,1.26,781.3,13.32389352,3.2208,0.45,3751.0
KOI,K01403.01,0.9514563106796117,1.0,1.67,995.3,18.75470238,3.0331,0.54,3976.0
KOI,K01879.01,0.9514563106796117,1.0,3.34,3157.4,22.08551599,2.1727,0.565,3828.0
KOI,K00251.02,0.9514563106796117,1.0,0.8,245.3,5.77440326,1.768,0.508,3808.0
KOI,K03444.01,0.9514563106796117,1.0,0.76,215.8,12.67143692,2.498,0.529,3705.0
KOI,K01298.01,0.9514563106796117,1.0,2.15,1462.5,11.00817635,2.013,0.582,4141.0
KOI,K00663.02,0.9514563106796117,1.0,1.58,715.4,20.30652862,2.8014,0.553,4121.0
KOI,K08037.01,0.9514563106796117,1.0,0.72,253.2,3.65034525,1.527,0.45,3704.0
KOI,K02715.03,0.9514563106796117,1.0,1.78,1316.0,5.72084599,2.744,0.503,3640.0
