dataset,designation,prob,label,Rstar_Rsun,Rp_Re,P_days,Depth_ppm,Teff_K,Dur_hr
KOI,K00500.02,0.9514563106796117,1.0,0.567,2.16,9.521644639,1491.3,4041.0,2.3569
KOI,K00500.01,0.9514563106796117,1.0,0.567,2.16,7.053527145,1480.1,4041.0,2.3982
KOI,K06471.01,0.9514563106796117,0.0,0.55,0.85,8.65311903,206.8,3929.0,1.273
KOI,K00817.01,0.9514563106796117,1.0,0.524,1.8,23.96793669,1182.3,3747.0,3.827
KOI,K05826.01,0.9514563106796117,1.0,0.664,1.53,30.561533,585.7,4294.0,2.227
KOI,K01843.02,0.9514563106796117,1.0,0.522,0.86,6.35585682,176.6,3706.0,1.55
KOI,K00961.03,0.9514563106796117,1.0,0.148,0.66,1.865114193,1124.8,3292.0,0.4279
KOI,K03102.01,0.9514563106796117,1.0,0.35,0.61,9.3210841,294.2,3773.0,1.81
KOI,K00898.01,0.9514563106796117,1.0,0.509,2.23,9.7704486,1897.8,3906.0,2.4517
KOI,K01422.04,0.9514563106796117,1.0,0.383,1.18,63.3354719,983.0,3526.0,3.651
KOI,K07706.01,0.9514563106796117,1.0,0.48,1.19,42.049523793,607.9,4281.0,2.1372
KOI,K00605.01,0.9514563106796117,1.0,0.557,1.77,2.628117322,936.8,3939.0,1.8289
KOI,K01430.02,0.9514563106796117,1.0,0.611,2.08,22.92886314,908.9,4463.0,2.0831
KOI,K00250.04,0.9514563106796117,1.0,0.537,2.13,46.82767725,1537.7,3879.0,1.9033
KOI,K00248.01,0.9514563106796117,1.0,0.539,2.25,7.203855862,1765.9,3834.0,2.5418
KOI,K00947.01,0.9514563106796117,1.0,0.461,1.83,28.59914031,1585.1,3755.0,3.6567
KOI,K02031.01,0.9514563106796117,1.0,0.658,1.67,9.30413878,637.3,4458.0,1.9254
KOI,K00156.03,0.9514563106796117,1.0,0.54,2.08,11.776132317,1430.8,3980.0,2.8971
KOI,K02256.01,0.9514563106796117,1.0,0.544,2.02,10.71253475,1198.6,4175.0,2.7186
KOI,K00156.02,0.9514563106796117,1.0,0.54,1.0,5.188563677,358.7,3980.0,2.3683
KOI,K01833.03,0.9514563106796117,1.0,0.572,1.51,5.70940795,586.7,4402.0,1.622
KOI,K02179.02,0.9514563106796117,1.0,0.524,1.42,2.732767897,613.1,3825.0,1.1102
KOI,K00719.01,0.9514563106796117,1.0,0.639,1.8,9.034190783,577.6,4499.0,1.5501
